invoice_id,customer_id,project_id,invoice_date,due_date,payment_date,subtotal,tax_rate,tax_amount,total,currency,status,payment_method,notes,terms
INV-000034,4364,PRJ-00247,2020-10-22,2020-12-06,2020-12-08,177439.66,0.08,14195.17,191634.83000000002,USD,Paid,Credit Card,,Net 30
INV-000035,4549,PRJ-00577,2021-10-04,2021-11-18,,94758.82,0.08,7580.71,102339.53000000001,USD,Draft,,,Net 15
INV-000036,1685,PRJ-01024,2022-05-05,2022-06-04,,125490.28,0.08,10039.22,135529.5,USD,Cancelled,,Ok about strong factor time voice thought.,Net 45
INV-000037,2327,PRJ-00475,2024-06-07,2024-07-22,,156045.56,0.08,12483.64,168529.2,USD,Overdue,,,Net 45
INV-000038,1764,PRJ-00508,2023-11-30,2023-12-30,,134950.33,0.08,10796.03,145746.36,USD,Cancelled,,,Net 60
INV-000039,1188,PRJ-00403,2022-10-13,2022-11-12,,49872.12,0.08,3989.77,53861.89,USD,Draft,,,Net 45
INV-000040,3853,PRJ-01029,2020-04-15,2020-06-14,2020-06-15,59329.01,0.08,4746.32,64075.33,USD,Paid,Check,Power student lose stuff.,Net 15
INV-000041,1574,PRJ-01112,2023-06-09,2023-08-08,,103356.02,0.08,8268.48,111624.5,USD,Overdue,,,Net 30
INV-000042,3890,PRJ-00637,2021-11-29,2021-12-14,,164848.09,0.08,13187.85,178035.94,USD,Sent,,,Net 60
INV-000043,2416,PRJ-00583,2024-03-20,2024-04-19,,94818.19,0.08,7585.46,102403.65000000001,USD,Draft,,,Net 45
INV-000044,4951,,2022-04-02,2022-04-17,,126626.62,0.08,10130.13,136756.75,USD,Cancelled,,,Net 30
INV-000045,3271,PRJ-00913,2021-08-04,2021-10-03,,36353.82,0.08,2908.31,39262.13,USD,Draft,,,Net 45
INV-000046,2544,,2024-10-10,2024-10-25,,160483.0,0.08,12838.64,173321.64,USD,Overdue,,Agree among last save.,Net 15
INV-000047,4560,PRJ-00408,2024-08-05,2024-08-20,,138349.63,0.08,11067.97,149417.6,USD,Overdue,,,Net 30
INV-000048,2318,PRJ-01119,2021-09-14,2021-10-14,,138126.79,0.08,11050.14,149176.93,USD,Cancelled,,,Net 45
INV-000049,1398,PRJ-00241,2023-01-10,2023-01-25,2023-01-17,56603.35,0.08,4528.27,61131.619999999995,USD,Paid,Bank Transfer,Seek shake school state arrive yeah none.,Net 45
INV-000050,950,PRJ-00978,2021-08-13,2021-09-27,2021-10-01,151597.89,0.08,12127.83,163725.72,USD,Paid,PayPal,Enter to expert action finish.,Net 30
INV-000051,3208,PRJ-01032,2022-03-20,2022-04-19,,157793.63,0.08,12623.49,170417.12,USD,Overdue,,,Net 60
INV-000052,346,PRJ-00395,2023-02-02,2023-04-03,,153914.7,0.08,12313.18,166227.88,USD,Sent,,,Net 60
INV-000053,4175,PRJ-00282,2021-02-18,2021-03-05,,185921.51,0.08,14873.72,200795.23,USD,Sent,,Think goal new allow question medical last.,Net 45
INV-000054,4214,PRJ-00493,2021-07-22,2021-09-20,,197368.91,0.08,15789.51,213158.42,USD,Cancelled,,,Net 15
INV-000055,3544,PRJ-00541,2023-05-20,2023-07-04,,34218.78,0.08,2737.5,36956.28,USD,Draft,,,Net 60
INV-000056,1424,PRJ-00744,2023-11-29,2023-12-14,,159067.83,0.08,12725.43,171793.25999999998,USD,Cancelled,,Itself across later south deal likely must together.,Net 45
INV-000057,2934,PRJ-00348,2023-05-23,2023-06-22,,124220.95,0.08,9937.68,134158.63,USD,Overdue,,House bit politics her ten series.,Net 30
INV-000058,2990,PRJ-01130,2022-06-11,2022-07-26,2022-07-26,74251.22,0.08,5940.1,80191.32,USD,Paid,PayPal,,Net 15
INV-000059,2633,PRJ-01029,2020-05-09,2020-07-08,,187007.17,0.08,14960.57,201967.74000000002,USD,Cancelled,,,Net 60
INV-000060,3670,PRJ-00750,2020-04-07,2020-05-07,,93910.08,0.08,7512.81,101422.89,USD,Overdue,,Newspaper do town join simple fund.,Net 30
INV-000061,1689,,2020-06-23,2020-07-08,,90884.74,0.08,7270.78,98155.52,USD,Cancelled,,Exist do leader behind treat blood.,Net 45
INV-000062,2917,PRJ-00977,2021-07-24,2021-09-22,,41839.84,0.08,3347.19,45187.03,USD,Cancelled,,Single billion life suddenly cell.,Net 15
INV-000063,3220,PRJ-00259,2024-05-25,2024-06-09,,175742.77,0.08,14059.42,189802.19,USD,Overdue,,,Net 60
INV-000064,2212,PRJ-00771,2022-07-01,2022-07-31,,101880.32,0.08,8150.43,110030.75,USD,Overdue,,,Net 15
INV-000065,1742,PRJ-00499,2024-04-18,2024-06-17,,135225.93,0.08,10818.07,146044.0,USD,Draft,,,Net 60
INV-000066,955,PRJ-00684,2020-12-26,2021-02-09,,182033.89,0.08,14562.71,196596.6,USD,Draft,,,Net 15
INV-000067,4354,PRJ-00833,2020-07-01,2020-08-15,,111508.03,0.08,8920.64,120428.67,USD,Sent,,,Net 60
INV-000068,3198,PRJ-00914,2024-08-10,2024-09-09,,95117.45,0.08,7609.4,102726.84999999999,USD,Overdue,,,Net 30
INV-000069,1778,,2021-05-26,2021-07-10,,173797.36,0.08,13903.79,187701.15,USD,Cancelled,,,Net 60
INV-000070,230,PRJ-00764,2024-10-04,2024-10-19,,97973.77,0.08,7837.9,105811.67,USD,Cancelled,,,Net 60
INV-000071,2114,PRJ-00042,2024-12-29,2025-02-27,2025-02-25,14697.3,0.08,1175.78,15873.08,USD,Paid,Credit Card,Program maybe city hot best other art so.,Net 60
INV-000072,589,PRJ-00657,2024-03-01,2024-03-31,,160964.1,0.08,12877.13,173841.23,USD,Overdue,,,Net 45
INV-000073,2692,PRJ-00374,2020-09-11,2020-10-26,,127746.37,0.08,10219.71,137966.08,USD,Sent,,Themselves participant hundred yeah peace majority next.,Net 30
INV-000074,441,PRJ-01132,2021-03-14,2021-03-29,,27331.7,0.08,2186.54,29518.24,USD,Draft,,Region ability hot science.,Net 30
INV-000075,4871,PRJ-00228,2022-11-20,2022-12-05,,154841.03,0.08,12387.28,167228.31,USD,Cancelled,,,Net 15
INV-000076,2887,PRJ-00301,2023-08-31,2023-09-30,,56264.49,0.08,4501.16,60765.649999999994,USD,Draft,,Myself summer while ahead its leg.,Net 60
INV-000077,239,PRJ-00984,2024-02-02,2024-02-17,,181311.63,0.08,14504.93,195816.56,USD,Sent,,,Net 60
INV-000078,3139,PRJ-00025,2020-12-19,2021-01-03,,79888.25,0.08,6391.06,86279.31,USD,Draft,,,Net 45
INV-000079,491,PRJ-00594,2022-11-15,2022-11-30,,74186.43,0.08,5934.91,80121.34,USD,Draft,,,Net 30
INV-000080,4520,PRJ-00046,2023-04-07,2023-04-22,2023-04-13,133586.61,0.08,10686.93,144273.53999999998,USD,Paid,Check,,Net 45
INV-000081,1656,PRJ-01158,2021-07-26,2021-08-25,,67649.07,0.08,5411.93,73061.0,USD,Draft,,,Net 30
INV-000082,2383,PRJ-00719,2022-12-25,2023-02-08,2023-01-31,35479.2,0.08,2838.34,38317.53999999999,USD,Paid,Credit Card,,Net 45
INV-000083,647,PRJ-01131,2021-09-19,2021-10-04,,31974.39,0.08,2557.95,34532.34,USD,Cancelled,,,Net 60
INV-000084,3031,PRJ-00449,2020-02-01,2020-03-17,,189505.51,0.08,15160.44,204665.95,USD,Sent,,,Net 30
INV-000085,3359,PRJ-01119,2022-07-17,2022-08-31,,84537.13,0.08,6762.97,91300.1,USD,Overdue,,Hour study college end beautiful board.,Net 45
INV-000086,2663,PRJ-01046,2023-07-18,2023-09-01,,90619.89,0.08,7249.59,97869.48,USD,Cancelled,,Above open somebody describe.,Net 15
INV-000087,3071,PRJ-00879,2024-11-22,2025-01-06,,115213.1,0.08,9217.05,124430.15000000001,USD,Sent,,The break area leg building decide themselves.,Net 30
INV-000088,4870,PRJ-00526,2020-02-11,2020-03-27,,125274.21,0.08,10021.94,135296.15,USD,Draft,,,Net 45
INV-000089,2695,PRJ-01029,2021-11-26,2022-01-10,,53837.24,0.08,4306.98,58144.22,USD,Draft,,Fire situation moment deep participant by factor.,Net 30
INV-000090,1916,,2024-02-27,2024-04-27,2024-04-29,27331.12,0.08,2186.49,29517.61,USD,Paid,PayPal,Drug hope art poor decide age despite.,Net 15
INV-000091,1225,PRJ-00027,2023-06-15,2023-06-30,,199714.54,0.08,15977.16,215691.7,USD,Cancelled,,,Net 60
INV-000092,552,,2020-06-16,2020-07-01,,158092.85,0.08,12647.43,170740.28,USD,Cancelled,,Gun hour six hair experience nearly forward collection.,Net 15
INV-000093,1521,PRJ-00113,2021-08-17,2021-09-01,2021-09-05,26608.23,0.08,2128.66,28736.89,USD,Paid,Credit Card,,Net 45
INV-000094,2271,PRJ-00519,2020-03-01,2020-04-15,,66605.41,0.08,5328.43,71933.84,USD,Sent,,Back fish size sit.,Net 30
INV-000095,2860,PRJ-00275,2024-10-01,2024-10-16,,194780.87,0.08,15582.47,210363.34,USD,Draft,,,Net 45
INV-000096,622,PRJ-00178,2023-03-05,2023-03-20,2023-03-14,115811.72,0.08,9264.94,125076.66,USD,Paid,Check,,Net 30
INV-000097,581,PRJ-00731,2020-10-01,2020-10-16,,63508.4,0.08,5080.67,68589.07,USD,Overdue,,,Net 15
INV-000098,1,,2024-03-15,2024-05-14,2024-05-07,130219.83,0.08,10417.59,140637.42,USD,Paid,PayPal,,Net 60
INV-000099,1357,PRJ-01039,2024-08-14,2024-09-28,,68556.93,0.08,5484.55,74041.48,USD,Overdue,,Character source room buy house people Republican.,Net 30
INV-000100,641,PRJ-00572,2023-05-16,2023-06-15,,74227.7,0.08,5938.22,80165.92,USD,Cancelled,,,Net 15
INV-000101,4033,PRJ-00950,2021-10-09,2021-12-08,,173027.57,0.08,13842.21,186869.78,USD,Draft,,,Net 15
INV-000102,1941,PRJ-00966,2023-04-01,2023-05-31,,53178.64,0.08,4254.29,57432.93,USD,Draft,,,Net 30
INV-000103,2614,PRJ-00396,2021-03-28,2021-05-27,2021-05-24,196832.28,0.08,15746.58,212578.86,USD,Paid,Bank Transfer,,Net 45
INV-000104,937,PRJ-00711,2022-11-01,2022-11-16,,127024.65,0.08,10161.97,137186.62,USD,Cancelled,,,Net 15
INV-000105,4055,PRJ-00884,2020-08-28,2020-10-27,,31198.0,0.08,2495.84,33693.84,USD,Cancelled,,,Net 15
INV-000106,853,PRJ-01034,2021-01-17,2021-02-16,,23770.17,0.08,1901.61,25671.78,USD,Draft,,,Net 15
INV-000107,2656,PRJ-01184,2023-03-08,2023-04-22,,178944.87,0.08,14315.59,193260.46,USD,Cancelled,,,Net 60
INV-000108,370,PRJ-00755,2021-02-08,2021-03-10,,139996.43,0.08,11199.71,151196.13999999998,USD,Overdue,,,Net 60
INV-000109,3920,PRJ-00269,2023-05-04,2023-06-18,,178181.25,0.08,14254.5,192435.75,USD,Cancelled,,,Net 15
INV-000110,3981,PRJ-00361,2022-12-06,2023-02-04,,46868.45,0.08,3749.48,50617.93,USD,Overdue,,Say article ten dream inside purpose.,Net 30
INV-000111,4505,,2022-10-09,2022-12-08,,27770.95,0.08,2221.68,29992.63,USD,Sent,,,Net 60
INV-000112,1474,PRJ-00791,2021-05-11,2021-06-10,2021-06-05,98128.7,0.08,7850.3,105979.0,USD,Paid,Wire Transfer,,Net 15
INV-000113,2176,PRJ-01111,2021-07-31,2021-09-14,2021-09-13,148968.62,0.08,11917.49,160886.11,USD,Paid,Check,Answer someone sell employee leader memory animal.,Net 60
INV-000114,4147,PRJ-00680,2021-05-29,2021-06-28,,196881.89,0.08,15750.55,212632.44,USD,Draft,,,Net 30
INV-000115,1546,PRJ-00570,2020-05-10,2020-06-24,,29662.85,0.08,2373.03,32035.879999999997,USD,Overdue,,,Net 30
INV-000116,2455,PRJ-01090,2022-08-27,2022-10-11,2022-10-01,86178.34,0.08,6894.27,93072.61,USD,Paid,PayPal,,Net 30
INV-000117,2116,,2022-10-01,2022-11-15,2022-11-08,138573.41,0.08,11085.87,149659.28,USD,Paid,Check,Push sing message floor enjoy think structure.,Net 15
INV-000118,3480,PRJ-00792,2021-02-02,2021-03-19,,169448.83,0.08,13555.91,183004.74,USD,Overdue,,,Net 15
INV-000119,1809,PRJ-00033,2024-01-24,2024-03-09,,195409.39,0.08,15632.75,211042.14,USD,Overdue,,,Net 30
INV-000120,957,PRJ-00081,2020-03-24,2020-05-23,,161696.7,0.08,12935.74,174632.44,USD,Overdue,,,Net 15
INV-000121,4386,PRJ-00858,2020-03-25,2020-04-09,,151766.08,0.08,12141.29,163907.37,USD,Cancelled,,,Net 15
INV-000122,4079,,2021-01-15,2021-01-30,,90592.87,0.08,7247.43,97840.29999999999,USD,Sent,,,Net 15
INV-000123,3911,PRJ-00037,2020-06-13,2020-08-12,,174894.35,0.08,13991.55,188885.9,USD,Sent,,,Net 60
INV-000124,3208,PRJ-00463,2023-01-06,2023-02-20,,125760.05,0.08,10060.8,135820.85,USD,Cancelled,,,Net 60
INV-000125,509,,2022-11-08,2022-12-23,,144334.57,0.08,11546.77,155881.34,USD,Draft,,,Net 45
INV-000126,2221,PRJ-00597,2023-01-10,2023-03-11,,73279.06,0.08,5862.32,79141.38,USD,Overdue,,Later cause study as marriage ready capital drug.,Net 30
INV-000127,906,PRJ-00134,2022-04-14,2022-05-29,,32643.56,0.08,2611.48,35255.04,USD,Draft,,,Net 60
INV-000128,3853,,2024-03-09,2024-05-08,,103502.69,0.08,8280.22,111782.91,USD,Overdue,,,Net 15
INV-000129,555,PRJ-00523,2024-04-22,2024-06-06,,188466.76,0.08,15077.34,203544.1,USD,Overdue,,,Net 30
INV-000130,1099,PRJ-01135,2024-08-09,2024-08-24,,141687.35,0.08,11334.99,153022.34,USD,Overdue,,,Net 15
INV-000131,1869,,2021-07-22,2021-08-06,,64221.87,0.08,5137.75,69359.62,USD,Sent,,Understand agent program foot hair something indicate think.,Net 30
INV-000132,3048,PRJ-00801,2023-03-25,2023-04-09,,135299.62,0.08,10823.97,146123.59,USD,Sent,,Tend responsibility million there pretty person.,Net 30
INV-000133,63,PRJ-00165,2021-05-14,2021-07-13,,140113.03,0.08,11209.04,151322.07,USD,Sent,,Design move such ready.,Net 15
INV-000134,2300,PRJ-00775,2022-03-01,2022-03-16,,10405.16,0.08,832.41,11237.57,USD,Draft,,,Net 15
INV-000135,4692,PRJ-01040,2020-05-09,2020-05-24,,159628.09,0.08,12770.25,172398.34,USD,Draft,,,Net 30
INV-000136,1217,PRJ-01110,2023-04-12,2023-06-11,,68224.71,0.08,5457.98,73682.69,USD,Overdue,,Especially soon near commercial keep it stop.,Net 15
INV-000137,2449,PRJ-00158,2023-04-30,2023-05-15,,114479.26,0.08,9158.34,123637.59999999999,USD,Cancelled,,,Net 15
INV-000138,1862,PRJ-00617,2021-04-04,2021-05-04,,80032.41,0.08,6402.59,86435.0,USD,Draft,,,Net 15
INV-000139,2334,PRJ-00793,2021-04-20,2021-05-05,,193008.05,0.08,15440.64,208448.69,USD,Cancelled,,Onto leader well store.,Net 15
INV-000140,1069,PRJ-00672,2024-01-19,2024-02-18,,18018.79,0.08,1441.5,19460.29,USD,Draft,,West institution benefit yard.,Net 30
INV-000141,1740,PRJ-00424,2022-06-28,2022-07-13,,13797.44,0.08,1103.8,14901.24,USD,Overdue,,,Net 30
INV-000142,1309,PRJ-01036,2021-02-17,2021-04-18,2021-04-22,122404.91,0.08,9792.39,132197.3,USD,Paid,Bank Transfer,,Net 60
INV-000143,3011,PRJ-00608,2022-05-05,2022-05-20,,9218.98,0.08,737.52,9956.5,USD,Cancelled,,Third vote land although.,Net 45
INV-000144,1130,,2022-08-08,2022-09-07,2022-09-05,193844.76,0.08,15507.58,209352.34,USD,Paid,Credit Card,,Net 60
INV-000145,2148,PRJ-00164,2024-12-13,2025-01-12,,196085.39,0.08,15686.83,211772.22,USD,Draft,,International sign push section now prevent those.,Net 45
INV-000146,2617,PRJ-00277,2023-07-23,2023-09-06,,68127.7,0.08,5450.22,73577.92,USD,Cancelled,,Assume leader call.,Net 30
INV-000147,1386,PRJ-00146,2023-10-06,2023-11-20,,22770.96,0.08,1821.68,24592.64,USD,Sent,,Customer fight care instead show control ball strategy.,Net 30
INV-000148,1212,PRJ-00646,2021-01-22,2021-03-23,,172068.92,0.08,13765.51,185834.43000000002,USD,Sent,,,Net 30
INV-000149,1750,,2020-09-26,2020-11-25,,24410.22,0.08,1952.82,26363.04,USD,Sent,,,Net 15
INV-000150,2000,PRJ-00424,2024-07-29,2024-09-27,,96527.85,0.08,7722.23,104250.08,USD,Cancelled,,,Net 30
INV-000151,1022,PRJ-00759,2023-04-19,2023-05-19,,149308.24,0.08,11944.66,161252.9,USD,Sent,,,Net 15
INV-000152,100,PRJ-01200,2021-10-10,2021-10-25,,189192.47,0.08,15135.4,204327.87,USD,Cancelled,,,Net 15
INV-000153,4157,PRJ-01168,2021-07-21,2021-08-20,,177589.88,0.08,14207.19,191797.07,USD,Sent,,,Net 15
INV-000154,1543,PRJ-00169,2020-07-17,2020-09-15,,165277.12,0.08,13222.17,178499.29,USD,Draft,,,Net 30
INV-000155,4603,PRJ-01038,2024-08-03,2024-08-18,2024-08-15,111392.15,0.08,8911.37,120303.51999999999,USD,Paid,Bank Transfer,People sea kid total campaign member affect performance.,Net 60
INV-000156,1469,PRJ-00509,2021-02-10,2021-03-27,,103570.34,0.08,8285.63,111855.97,USD,Cancelled,,,Net 60
INV-000157,3982,PRJ-00893,2021-02-17,2021-03-04,,94169.13,0.08,7533.53,101702.66,USD,Cancelled,,,Net 15
INV-000158,1462,PRJ-00858,2022-02-01,2022-03-18,,58308.54,0.08,4664.68,62973.22,USD,Sent,,,Net 60
INV-000159,2227,PRJ-00058,2020-05-24,2020-06-23,,138846.27,0.08,11107.7,149953.97,USD,Overdue,,,Net 30
INV-000160,4726,,2023-02-05,2023-04-06,2023-03-31,181909.66,0.08,14552.77,196462.43,USD,Paid,Bank Transfer,Music population shake so suggest image total agency.,Net 45
INV-000161,4542,PRJ-00076,2020-09-13,2020-09-28,,63728.83,0.08,5098.31,68827.14,USD,Overdue,,,Net 30
INV-000162,1392,PRJ-00221,2022-02-06,2022-03-23,,179634.02,0.08,14370.72,194004.74,USD,Overdue,,,Net 60
INV-000163,3413,PRJ-00219,2021-07-27,2021-09-10,,15542.48,0.08,1243.4,16785.88,USD,Sent,,Address practice anyone beyond.,Net 45
INV-000164,2789,PRJ-00665,2020-12-04,2021-01-03,,87169.42,0.08,6973.55,94142.97,USD,Cancelled,,Reveal increase minute hear.,Net 30
INV-000165,1412,PRJ-00390,2022-04-19,2022-05-19,,55812.6,0.08,4465.01,60277.61,USD,Overdue,,,Net 15
INV-000166,588,PRJ-00736,2020-11-18,2021-01-17,,84556.58,0.08,6764.53,91321.11,USD,Draft,,Summer cover so mother.,Net 45
INV-000167,2506,PRJ-00797,2023-08-05,2023-09-19,2023-09-10,106288.02,0.08,8503.04,114791.06,USD,Paid,Wire Transfer,,Net 45
INV-000168,3856,PRJ-00990,2020-10-04,2020-10-19,,79908.66,0.08,6392.69,86301.35,USD,Draft,,,Net 15
INV-000169,1441,PRJ-00439,2024-10-19,2024-12-03,,179393.79,0.08,14351.5,193745.29,USD,Cancelled,,,Net 60
INV-000170,2874,PRJ-00721,2022-05-04,2022-06-03,,39662.11,0.08,3172.97,42835.08,USD,Cancelled,,Address way clear prepare include body.,Net 45
INV-000171,188,PRJ-00617,2024-09-28,2024-11-12,,46822.55,0.08,3745.8,50568.350000000006,USD,Draft,,Technology scene network amount word deal another cultural.,Net 45
INV-000172,4376,PRJ-00590,2022-01-06,2022-03-07,,145381.21,0.08,11630.5,157011.71,USD,Draft,,,Net 60
INV-000173,2329,PRJ-00648,2023-06-23,2023-08-22,,83517.85,0.08,6681.43,90199.28,USD,Sent,,,Net 30
INV-000174,3553,PRJ-00025,2020-05-17,2020-06-01,,182707.49,0.08,14616.6,197324.09,USD,Cancelled,,,Net 30
INV-000175,388,PRJ-00728,2020-12-12,2020-12-27,2020-12-30,95705.22,0.08,7656.42,103361.64,USD,Paid,Check,Trouble between development fly try class indeed.,Net 45
INV-000176,1762,PRJ-00014,2021-11-19,2022-01-18,2022-01-18,15468.71,0.08,1237.5,16706.21,USD,Paid,Credit Card,,Net 30
INV-000177,1693,PRJ-00596,2023-08-17,2023-09-16,,150535.8,0.08,12042.86,162578.65999999997,USD,Overdue,,Help herself buy serve region relate.,Net 60
INV-000178,2366,PRJ-00866,2023-06-19,2023-07-19,,23836.68,0.08,1906.93,25743.61,USD,Cancelled,,,Net 45
INV-000179,166,PRJ-00802,2024-08-07,2024-08-22,,166112.45,0.08,13289.0,179401.45,USD,Draft,,,Net 45
INV-000180,1247,PRJ-00347,2021-10-29,2021-11-28,,184380.59,0.08,14750.45,199131.04,USD,Draft,,,Net 45
INV-000181,3848,PRJ-01123,2021-02-19,2021-04-05,,86665.83,0.08,6933.27,93599.1,USD,Draft,,,Net 45
INV-000182,1102,,2020-08-11,2020-08-26,,22607.19,0.08,1808.58,24415.769999999997,USD,Overdue,,,Net 30
INV-000183,3850,PRJ-00465,2024-04-20,2024-06-04,,14009.76,0.08,1120.78,15130.54,USD,Cancelled,,,Net 45
INV-000184,4631,PRJ-00901,2020-06-02,2020-07-17,,26074.09,0.08,2085.93,28160.02,USD,Draft,,Management nation Congress its painting.,Net 30
INV-000185,3795,,2022-12-14,2023-01-28,,191116.71,0.08,15289.34,206406.05,USD,Draft,,Fly game loss often.,Net 15
INV-000186,4833,PRJ-00348,2024-05-08,2024-06-07,,96042.78,0.08,7683.42,103726.2,USD,Sent,,,Net 45
INV-000187,3541,PRJ-00915,2021-11-20,2021-12-05,,108739.15,0.08,8699.13,117438.28,USD,Cancelled,,,Net 30
INV-000188,2600,PRJ-00968,2020-02-05,2020-03-06,2020-03-06,168373.12,0.08,13469.85,181842.97,USD,Paid,Check,,Net 60
INV-000189,1516,PRJ-00933,2024-04-25,2024-05-25,,29165.78,0.08,2333.26,31499.04,USD,Cancelled,,,Net 60
INV-000190,608,PRJ-00390,2024-11-13,2025-01-12,,91428.4,0.08,7314.27,98742.67,USD,Draft,,,Net 15
INV-000191,2717,PRJ-00328,2024-10-08,2024-11-07,,90592.31,0.08,7247.38,97839.69,USD,Cancelled,,,Net 60
INV-000192,3704,PRJ-00042,2020-03-05,2020-04-19,2020-04-19,137210.64,0.08,10976.85,148187.49000000002,USD,Paid,Wire Transfer,,Net 60
INV-000193,687,PRJ-00553,2023-11-04,2023-12-04,2023-11-25,34415.36,0.08,2753.23,37168.590000000004,USD,Paid,Check,,Net 60
INV-000194,3701,PRJ-00695,2020-07-05,2020-08-19,,145337.0,0.08,11626.96,156963.96,USD,Cancelled,,,Net 15
INV-000195,2317,PRJ-00008,2021-08-28,2021-10-27,,120175.47,0.08,9614.04,129789.51000000001,USD,Cancelled,,,Net 60
INV-000196,3338,PRJ-00142,2023-04-07,2023-06-06,,144721.11,0.08,11577.69,156298.8,USD,Overdue,,,Net 30
